,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,0,PY,1583382523,34,-23.49,-58.8,24.42,1.97
1,67,BR,1583382265,69,-30.18,-50.21,22.11,5.23
2,40,JP,1583382524,52,33.36,129.55,10.0,6.7
3,69,TM,1583382524,64,37.5,61.97,2.0,3.1
4,90,US,1583382524,86,42.1,-79.24,1.11,4.6
5,60,MZ,1583382524,97,-16.23,39.91,22.61,3.17
6,100,PF,1583382524,71,-16.48,-151.75,28.09,2.77
7,90,US,1583382437,74,21.32,-158.01,26.0,3.6
8,100,KI,1583382524,79,3.07,172.79,28.37,7.9
9,100,SE,1583382525,85,67.86,20.23,-12.0,1.5
10,0,SY,1583382525,69,35.3,37.18,10.78,3.43
11,20,TH,1583382525,55,7.92,98.33,32.0,4.1
12,100,AU,1583382525,28,-33.65,115.33,29.44,2.5
13,66,PF,1583382525,73,-23.12,-134.97,25.29,8.84
14,20,PT,1583382525,71,37.73,-25.67,13.89,3.1
15,90,RO,1583382525,87,46.43,26.4,6.11,6.2
16,100,FO,1583382525,70,62.16,-7.17,2.0,4.1
17,100,GL,1583382526,100,77.48,-69.36,-27.03,0.34
18,0,NZ,1583382526,62,-46.19,168.86,17.22,3.13
19,3,BR,1583382486,97,-24.79,-50.01,14.5,2.62
20,0,CV,1583382526,61,14.9,-24.5,22.95,7.99
21,75,AU,1583382526,93,-42.78,147.06,18.89,1.0
22,72,AU,1583382526,89,-38.27,141.97,16.73,6.31
23,90,AR,1583382478,93,-38.0,-57.56,20.56,2.6
24,75,US,1583382513,75,41.37,-73.41,8.0,4.1
25,40,VU,1583382527,79,-13.88,167.55,32.0,3.1
26,0,IR,1583382527,52,28.22,61.22,5.47,8.42
27,100,PF,1583382527,80,-22.43,-151.33,25.35,2.97
28,100,CM,1583382527,87,2.95,9.92,26.12,2.03
29,90,US,1583382527,100,40.6,-124.16,9.44,0.89
30,90,US,1583382527,64,42.6,-73.97,4.0,4.1
31,49,BR,1583382528,80,-8.9,-35.15,28.27,4.52
32,86,ID,1583382528,77,1.74,98.78,28.06,0.62
33,40,AR,1583382414,76,-54.8,-68.3,12.0,1.5
34,100,RU,1583382528,89,58.84,125.49,-10.1,3.3
35,90,US,1583382289,100,34.53,-82.65,12.0,3.98
36,0,PF,1583382528,65,-9.8,-139.03,27.43,4.09
37,11,ZA,1583382528,77,-33.92,25.57,21.0,6.7
38,46,GL,1583382491,63,69.22,-51.1,-24.0,1.0
39,100,GL,1583382529,77,72.79,-56.15,-23.98,2.77
40,90,CL,1583382529,100,-41.87,-73.82,15.0,1.5
41,100,ZM,1583382529,96,-12.29,33.18,16.33,2.29
42,100,IS,1583382529,58,64.25,-15.21,2.29,2.03
43,1,US,1583382529,38,37.68,-113.06,6.0,2.1
44,0,AU,1583382529,65,-24.87,113.63,28.0,6.2
45,90,CA,1583382530,86,50.7,-127.42,4.0,10.8
46,100,AU,1583382530,28,-33.87,121.9,29.0,3.1
47,0,ZA,1583382530,88,-33.01,17.94,19.0,4.1
48,1,US,1583382531,72,37.33,-87.5,9.44,2.6
49,75,TO,1583382482,70,-21.2,-175.2,29.0,3.6
50,0,NZ,1583382531,62,-46.6,168.33,17.22,3.13
51,1,US,1583382531,90,71.29,-156.79,-37.0,3.1
52,100,PG,1583382531,82,-9.08,143.21,29.91,1.14
53,100,CA,1583382531,88,48.65,-53.11,1.08,15.56
54,40,ZA,1583382531,93,-33.93,18.42,19.44,6.7
55,92,EG,1583382532,87,31.22,29.96,14.0,1.5
56,0,BR,1583382532,88,-19.77,-43.85,21.0,1.0
57,100,BR,1583382532,93,-5.4,-40.31,22.8,2.73
58,100,ID,1583382532,86,-3.8,102.27,24.16,1.24
59,100,MV,1583382532,75,-0.6,73.08,28.37,4.6
60,12,ZA,1583382532,93,-34.42,19.23,18.33,2.57
61,28,AF,1583382444,48,30.15,62.6,8.46,11.5
62,90,US,1583382532,78,19.73,-155.09,23.33,2.1
63,44,MZ,1583382533,98,-16.84,36.99,19.74,2.25
64,0,RU,1583382533,69,63.05,179.32,-14.04,0.25
65,14,PT,1583382533,72,38.52,-28.7,12.52,4.31
66,40,RU,1583382533,72,64.38,-173.3,-12.0,1.8
67,31,AU,1583382533,61,-28.77,114.6,28.0,8.7
68,100,RU,1583382533,75,68.75,161.3,-12.29,7.59
69,75,AU,1583382457,93,-42.88,147.33,18.89,1.0
70,20,US,1583382534,40,39.41,-74.36,11.11,1.5
71,100,ID,1583382534,72,-8.19,114.97,28.61,3.48
72,40,RU,1583382534,76,69.49,88.4,-23.0,9.0
73,0,AU,1583382534,56,-20.32,118.57,35.0,4.1
74,95,RU,1583382534,93,54.37,92.14,-8.57,1.76
75,100,NO,1583382534,97,67.67,12.69,0.52,2.91
76,90,US,1583382535,87,36.62,-121.92,15.0,3.1
77,0,CN,1583382535,25,37.18,119.93,4.01,4.36
78,46,GL,1583382535,63,68.82,-51.19,-24.0,1.0
79,0,LY,1583382535,35,26.59,12.78,12.4,2.89
80,0,ZA,1583382535,83,-33.02,27.91,21.0,2.6
81,40,HK,1583382535,72,22.29,114.16,21.67,5.7
82,75,PE,1583382535,83,-13.7,-76.22,22.22,6.7
83,75,CA,1583382536,73,55.3,-123.17,-7.0,1.0
84,77,RU,1583382536,97,71.92,114.08,-20.91,1.56
85,0,RU,1583382536,80,70.63,147.92,-21.89,1.5
86,0,BS,1583382536,89,24.9,-76.2,23.65,6.5
87,20,BB,1583382536,69,13.22,-59.52,26.0,7.2
88,67,BR,1583382536,84,-22.97,-42.03,24.07,6.61
89,75,MX,1583382443,72,22.89,-109.91,18.33,2.49
90,0,RU,1583382536,92,67.68,53.15,-13.16,3.65
91,75,PT,1583382537,72,32.67,-17.1,17.0,1.5
92,100,CL,1583382293,71,-53.15,-70.92,13.0,3.1
93,5,MX,1583382537,58,21.28,-89.67,29.0,5.1
94,90,CA,1583382537,74,69.45,-133.04,-31.0,7.7
95,14,CN,1583382537,26,40.09,113.29,1.31,1.19
96,2,PT,1583382537,68,39.05,-27.98,14.82,5.95
97,90,CA,1583382373,72,55.74,-97.86,-8.0,1.5
98,94,BR,1583382538,98,-9.88,-56.09,22.91,1.28
99,90,RU,1583382538,86,59.78,30.82,5.0,4.0
100,0,BD,1583382538,44,22.2,92.23,26.61,2.72
101,92,BR,1583382538,99,-21.73,-43.06,22.22,0.89
102,0,AU,1583382538,19,-25.24,130.99,30.0,4.6
103,100,AR,1583382344,78,-43.3,-65.1,20.33,1.24
104,100,RU,1583382538,92,65.61,72.68,-17.82,12.31
105,100,PG,1583382539,63,-6.02,144.97,20.23,1.45
106,85,PH,1583382539,60,12.12,119.85,29.8,1.07
107,20,CA,1583382539,69,62.46,-114.35,-23.89,2.1
108,75,IT,1583382539,76,39.17,8.52,11.0,2.6
109,0,ZA,1583382539,80,-33.59,26.89,21.67,2.68
110,40,PG,1583382319,74,-9.44,147.18,31.0,4.1
111,0,CL,1583382539,87,-45.58,-72.07,12.0,2.1
112,100,ID,1583382416,75,4.14,96.13,28.74,4.79
